epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,194.712,0.79552,0.79612,1.205,0.8832,0.4,0.42932,0.30147,1.73344,2.38613,1.43213,2.23929e-05,2.23929e-05,2.23929e-05
78,197.311,0.85557,1.11653,1.24047,0.86802,0.4,0.42991,0.30174,1.75225,2.4018,1.44338,2.17805e-05,2.17805e-05,2.17805e-05
79,199.93,0.58704,0.59983,1.02425,0.86802,0.4,0.42991,0.30174,1.75225,2.4018,1.44338,2.11444e-05,2.11444e-05,2.11444e-05
80,202.453,0.62125,0.58533,0.9944,0.86802,0.4,0.42991,0.30174,1.75225,2.4018,1.44338,2.04848e-05,2.04848e-05,2.04848e-05
81,205.068,0.63888,0.77312,1.1881,0.8581,0.4,0.43208,0.29992,1.74499,2.39124,1.42469,1.98016e-05,1.98016e-05,1.98016e-05
82,207.647,0.56329,0.4977,1.05336,0.8581,0.4,0.43208,0.29992,1.74499,2.39124,1.42469,1.90949e-05,1.90949e-05,1.90949e-05
83,210.127,0.73478,0.90669,1.16693,0.8581,0.4,0.43208,0.29992,1.74499,2.39124,1.42469,1.83646e-05,1.83646e-05,1.83646e-05
84,212.8,0.4577,0.53144,0.98578,0.84226,0.4,0.43243,0.29825,1.77667,2.41279,1.44032,1.76107e-05,1.76107e-05,1.76107e-05
85,215.262,0.61564,0.79446,1.06771,0.84226,0.4,0.43243,0.29825,1.77667,2.41279,1.44032,1.68333e-05,1.68333e-05,1.68333e-05
86,217.853,0.79996,0.81205,1.34328,0.84226,0.4,0.43243,0.29825,1.77667,2.41279,1.44032,1.60323e-05,1.60323e-05,1.60323e-05
87,220.238,0.78685,0.96924,1.21397,0.84226,0.4,0.43243,0.29825,1.77667,2.41279,1.44032,1.52077e-05,1.52077e-05,1.52077e-05
88,222.788,0.60043,0.68595,1.06754,0.80547,0.4,0.42688,0.29792,1.79052,2.4332,1.44303,1.43596e-05,1.43596e-05,1.43596e-05
89,225.32,0.76262,0.79418,1.17711,0.80547,0.4,0.42688,0.29792,1.79052,2.4332,1.44303,1.34879e-05,1.34879e-05,1.34879e-05
90,227.835,0.5799,0.82642,1.00103,0.80547,0.4,0.42688,0.29792,1.79052,2.4332,1.44303,1.25927e-05,1.25927e-05,1.25927e-05
91,230.347,0.49502,0.5114,1.05009,0.80547,0.4,0.42688,0.29792,1.79052,2.4332,1.44303,1.16739e-05,1.16739e-05,1.16739e-05
92,232.957,0.42723,0.52786,0.90202,0.81122,0.4,0.43023,0.29697,1.78876,2.44511,1.4345,1.07315e-05,1.07315e-05,1.07315e-05
93,235.419,0.62541,0.70393,1.21496,0.81122,0.4,0.43023,0.29697,1.78876,2.44511,1.4345,9.76562e-06,9.76562e-06,9.76562e-06
94,237.993,0.58507,0.56473,1.05612,0.81122,0.4,0.43023,0.29697,1.78876,2.44511,1.4345,8.77613e-06,8.77613e-06,8.77613e-06
95,240.676,0.73922,0.66918,1.29584,0.81122,0.4,0.43023,0.29697,1.78876,2.44511,1.4345,7.76308e-06,7.76308e-06,7.76308e-06
96,243.322,0.54319,0.54274,1.04181,0.81858,0.4,0.42786,0.29662,1.81743,2.54601,1.48853,6.72648e-06,6.72648e-06,6.72648e-06
97,245.854,0.42464,0.45713,0.9479,0.81858,0.4,0.42786,0.29662,1.81743,2.54601,1.48853,5.6663e-06,5.6663e-06,5.6663e-06
98,248.438,0.61503,0.54719,1.0962,0.81858,0.4,0.42786,0.29662,1.81743,2.54601,1.48853,4.58257e-06,4.58257e-06,4.58257e-06
99,251.294,0.49689,0.51994,0.91802,0.81858,0.4,0.42786,0.29662,1.81743,2.54601,1.48853,3.47528e-06,3.47528e-06,3.47528e-06
100,254.332,0.40995,0.53243,0.93342,0.82741,0.4,0.42423,0.29919,1.80029,2.57376,1.49129,2.34442e-06,2.34442e-06,2.34442e-06
