epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,15038.9,0.49173,0.4646,0.99278,0.89543,0.84307,0.90014,0.71694,0.80677,0.75033,1.2355,0.000135077,0.000135077,0.000135077
88,15212.1,0.46319,0.45398,0.9876,0.92156,0.82804,0.90557,0.71461,0.82834,0.75891,1.25328,0.000126078,0.000126078,0.000126078
89,15384.3,0.4946,0.46405,0.99443,0.93739,0.82433,0.90564,0.71461,0.8071,0.7307,1.22847,0.000117079,0.000117079,0.000117079
90,15550.9,0.48522,0.46036,0.99916,0.92608,0.83269,0.90903,0.71054,0.80848,0.72459,1.22193,0.00010808,0.00010808,0.00010808
91,15720.5,0.43055,0.46444,0.96838,0.8891,0.83195,0.89798,0.69852,0.81918,0.75429,1.25101,9.9081e-05,9.9081e-05,9.9081e-05
92,15908.9,0.4108,0.40256,0.9619,0.93027,0.80923,0.88128,0.68687,0.82725,0.75744,1.27366,9.00819e-05,9.00819e-05,9.00819e-05
93,16087,0.4094,0.38156,0.95051,0.93935,0.79679,0.8869,0.69491,0.80962,0.73503,1.25274,8.10828e-05,8.10828e-05,8.10828e-05
94,16262.8,0.37848,0.36339,0.93089,0.91857,0.79996,0.892,0.71103,0.78921,0.72973,1.22778,7.20837e-05,7.20837e-05,7.20837e-05
95,16440.7,0.37124,0.35786,0.91779,0.91218,0.80458,0.89265,0.70842,0.78194,0.73065,1.22567,6.30846e-05,6.30846e-05,6.30846e-05
96,16630.4,0.39014,0.35411,0.94403,0.89322,0.83828,0.8964,0.71518,0.77288,0.72711,1.2175,5.40855e-05,5.40855e-05,5.40855e-05
97,16811.9,0.37064,0.33793,0.92313,0.90704,0.84092,0.89363,0.71134,0.7762,0.73362,1.21321,4.50864e-05,4.50864e-05,4.50864e-05
98,16994.6,0.3553,0.34616,0.91624,0.90067,0.84528,0.89317,0.71048,0.77678,0.73801,1.21143,3.60873e-05,3.60873e-05,3.60873e-05
99,17176.4,0.36622,0.34395,0.91878,0.90738,0.84321,0.8923,0.70294,0.78489,0.73846,1.22299,2.70882e-05,2.70882e-05,2.70882e-05
100,17358.9,0.36882,0.34883,0.92338,0.89905,0.85123,0.89136,0.69918,0.79182,0.73846,1.22935,1.80891e-05,1.80891e-05,1.80891e-05
